sid,elastic,yield,phase_ratio_dict,ds
Co8.50Mo5.45Ti2.40,1.29E+11,912561527.9,"{""martensite"": 0.6413327985477765, ""Fe2Mo"": 0.09545684478183719, ""austenite"": 0.1481691293477994, ""gamma_phase"": 0.01026552680303274, ""Ni3Ti"": 0.1047757005195541}",20250304
Co8.50Mo5.00Ti1.20,97610663615,696735795.5,"{""martensite"": 0.5991448580001919, ""Fe2Mo"": 0.08367511560041099, ""austenite"": 0.2625418618586263, ""Ni3Ti"": 0.05463816454077086}",20250304
Co8.50Mo4.90Ti2.40,1.37E+11,962294777.1,"{""martensite"": 0.6522595188467633, ""Fe2Mo"": 0.08446164671726553, ""austenite"": 0.1484557503258132, ""gamma_phase"": 0.01001560948423098, ""Ni3Ti"": 0.1048074746259269}",20250304
Co8.50Mo5.25Ti1.80,1.18E+11,858012188,"{""martensite"": 0.6195425230089189, ""Fe2Mo"": 0.09006509044323507, ""austenite"": 0.2055631839695869, ""gamma_phase"": 0.004989763097066044, ""Ni3Ti"": 0.07983943948119318}",20250304
Co8.50Mo4.95Ti1.80,1.08E+11,782288123,"{""martensite"": 0.6254374913289124, ""Fe2Mo"": 0.08405874018353428, ""austenite"": 0.2057708541905472, ""gamma_phase"": 0.004845867380835428, ""Ni3Ti"": 0.07988704691617075}",20250304
Co8.50Mo4.95Ti2.80,1.43E+11,1019873538,"{""martensite"": 0.6687437423071935, ""Fe2Mo"": 0.08640305004835928, ""austenite"": 0.1099836778744446, ""gamma_phase"": 0.01353050092740428, ""Ni3Ti"": 0.1213390288425983}",20250304
Co8.50Mo5.30Ti2.00,1.27E+11,893383165.2,"{""martensite"": 0.6270928403970237, ""Fe2Mo"": 0.09152780765421342, ""austenite"": 0.186479454004878, ""gamma_phase"": 0.006735188501841907, ""Ni3Ti"": 0.08816470944204297}",20250304
Co8.50Mo5.40Ti2.20,1.26E+11,899375771.3,"{""martensite"": 0.6336971213038928, ""Fe2Mo"": 0.0939927380623676, ""austenite"": 0.16732751156372, ""gamma_phase"": 0.008509369500220897, ""Ni3Ti"": 0.09647325956979871}",20250304
Co8.50Mo5.40Ti2.40,1.31E+11,922819564.2,"{""martensite"": 0.6423269934137125, ""Fe2Mo"": 0.09445585938282225, ""austenite"": 0.1481959068567343, ""gamma_phase"": 0.01024279050216542, ""Ni3Ti"": 0.1047784498445655}",20250304
Co8.50Mo5.00Ti0.80,98264923756,702788994.8,"{""martensite"": 0.583041555614529, ""Fe2Mo"": 0.0827401008152638, ""austenite"": 0.2986561564142484, ""Ni3Ti"": 0.03556218715595878}",20250304
Co8.50Mo5.40Ti2.00,1.20E+11,867187607,"{""martensite"": 0.6251191444246672, ""Fe2Mo"": 0.0935314931641872, ""austenite"": 0.1864145682669429, ""gamma_phase"": 0.006782347357596746, ""Ni3Ti"": 0.08815244678660587}",20250304
Co8.50Mo5.30Ti1.60,1.03E+11,752380743,"{""martensite"": 0.6100779367299757, ""Fe2Mo"": 0.09060836983079841, ""austenite"": 0.2245320103027577, ""gamma_phase"": 0.003298995425361482, ""Ni3Ti"": 0.07148268771110669}",20250304
Co8.50Mo5.05Ti2.40,1.28E+11,910089967.2,"{""martensite"": 0.6492815618072472, ""Fe2Mo"": 0.08745692766560464, ""austenite"": 0.1483793054655739, ""gamma_phase"": 0.01008373046239499, ""Ni3Ti"": 0.1047984745991792}",20250304
Co8.50Mo5.15Ti0.80,1.00E+11,700940866.9,"{""martensite"": 0.5801369412894947, ""Fe2Mo"": 0.08575321649329065, ""austenite"": 0.2985438973792665, ""Ni3Ti"": 0.0355659448379481}",20250304
Co8.50Mo5.40Ti1.20,1.07E+11,771114419.4,"{""martensite"": 0.5913356739249197, ""Fe2Mo"": 0.09170498326895524, ""austenite"": 0.2622880532536755, ""Ni3Ti"": 0.0546712895524495}",20250304
Co8.50Mo5.45Ti1.60,99739303242,726411773.9,"{""martensite"": 0.6071390165853724, ""Fe2Mo"": 0.09361821618321951, ""austenite"": 0.2244161152903693, ""gamma_phase"": 0.003372564399873658, ""Ni3Ti"": 0.07145408754116518}",20250304
Co8.50Mo5.25Ti1.20,92540647850,648630496.9,"{""martensite"": 0.5942650798271942, ""Fe2Mo"": 0.08869162376770856, ""austenite"": 0.2623846339247657, ""Ni3Ti"": 0.05465866248033148}",20250304
Co8.50Mo5.50Ti2.00,1.19E+11,850391624.3,"{""martensite"": 0.6231448289020411, ""Fe2Mo"": 0.09553632266319714, ""austenite"": 0.1863490303339674, ""gamma_phase"": 0.006829540294033942, ""Ni3Ti"": 0.08814027780676037}",20250304
Co8.50Mo5.00Ti1.40,1.04E+11,745294235.6,"{""martensite"": 0.6075000890182315, ""Fe2Mo"": 0.08413562559649938, ""austenite"": 0.2437370498591977, ""gamma_phase"": 0.00144123413033812, ""Ni3Ti"": 0.0631860013957332}",20250304
